"gamma","epsilon","c","test_r2"
"0.34526876","0.23273598","10.304569","-0.053781228556484706"
"6.757014","0.03678461","0.8251964","-0.05445850987545309"
"8.502758","0.47912955","0.6934968","-0.05779111144549054"
"80.75207","0.0893139","1.3900204","-0.05836581091386894"
"6.6905985","0.019175665","0.73951334","-0.05850436942582826"
"3.3440208","0.10220043","1.2178617","-0.060049721971105585"
"0.1395805","0.42706323","24.238262","-0.061436219039844975"
"0.101142645","0.014801586","33.263416","-0.062149799606012746"
"2.759899","0.34150356","1.4143361","-0.06222566072447733"
"1.7916448","0.8599274","2.1269543","-0.06377358308407288"
"47.24758","0.014129055","0.7455157","-0.06800274544348284"
"19.270885","0.10171525","0.59541607","-0.06910343749454895"
"3.8464472","0.029701672","1.0386006","-0.06975414606685293"
"0.04236034","0.3095244","75.91409","-0.07078679586053638"
"10.595415","0.682158","0.5645698","-0.07080895147302146"
"17.808514","0.014552622","0.46180573","-0.07096960040597122"
"4.9174356","0.7260694","0.8696423","-0.07117461382668488"
"22.914915","0.317981","0.5325184","-0.07443990214524576"
"90.20224","0.018987637","1.4652956","-0.07696090381109477"
"95.29179","0.43293634","1.5489067","-0.08005745851933588"
"3.7020888","0.041631248","1.0129004","-0.08083517287125219"
"0.20664139","0.2521169","14.607894","-0.08513407728170264"
"0.0500931","0.21143089","59.681175","-0.08527370079092256"
"5.240471","0.9576881","0.7571446","-0.0869744210204253"
"7.9366593","0.013372976","0.5677297","-0.08884884802119108"
"2.7123148","0.021723008","1.2341647","-0.09214407485383602"
"0.067551464","0.676719","42.361744","-0.09371020006294728"
"0.047448386","0.74236256","58.86566","-0.09794435037327553"
"46.016304","0.017915348","0.53812915","-0.09921825415387397"
"2.880152","0.017348332","1.1248676","-0.09983628315177828"
"6.5828066","0.93295693","0.5829293","-0.10992867992693878"
"26.145756","0.22232096","0.37921855","-0.10999425167154353"
"65.58372","0.15363774","0.7028594","-0.1106210642836234"
"5.9657288","0.013185331","0.5978231","-0.11225459703969909"
"7.567153","0.017361214","0.5118729","-0.11254792676068393"
"0.08724288","0.06281005","29.42518","-0.11314149017482533"
"0.24713203","0.13960047","10.402326","-0.1144417435237568"
"69.92096","0.40530023","0.72849274","-0.11483392451331054"
"0.10417387","0.037054393","23.905678","-0.11837721267943913"
"5.269714","0.297421","0.622653","-0.11997258114230225"
"24.03186","0.1642837","0.3523923","-0.12145181748853995"
"80.72685","0.023936283","0.8562024","-0.12157067021112167"
"80.76091","0.011194904","0.8494997","-0.12227411782800934"
"2.739705","0.08315097","1.0266818","-0.12264414251669131"
"3.0342677","0.19798477","0.9370618","-0.12352282783999824"
"6.754273","0.13732956","0.51420254","-0.12354394279456349"
"0.73875266","0.020988584","3.3584802","-0.12483066659862074"
"87.56883","0.1342135","0.93487704","-0.12499089615007275"
"3.721218","0.038576294","0.7842128","-0.12538289943617076"
"90.84673","0.057098188","1.021413","-0.1254237540498504"
